AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
2541.0,7637.0,599.4000000000001,0.0,599.4000000000001,3683,$49.95,Local Listing (City),1
2542.0,3457.0,360.0,0.0,360.0,3692,$30.00,Online Presence Package A,1
2571.0,6009.0,600.0,0.0,600.0,3689,$50.00,Local Listing (City),1
2572.0,6012.0,600.0,0.0,600.0,3689,$50.00,Local Listing (City),1
2579.0,2315.0,599.4000000000001,0.0,599.4000000000001,3683,$49.95,Local Listing (City),1
2582.0,2984.0,456.0,0.0,456.0,3685,$75.00,Online Presence Package A,1
2584.0,2988.0,456.0,0.0,456.0,3685,$0.00,Local Listing (City),1
2591.0,2562.0,659.4000000000001,0.0,659.4000000000001,3682,$49.95,Online Presence Package A,1
2596.0,3643.0,149.85000000000002,0.0,149.85000000000002,3685,$49.95,Local Listing (City),1
2623.0,3371.0,599.4000000000001,0.0,599.4000000000001,3683,$49.95,Local Listing (City),1
2697.0,105799.0,599.4000000000001,0.0,599.4000000000001,822,$29.99,Amnesty Listing,1
2744.0,18121.0,599.4000000000001,0.0,599.4000000000001,1795,$49.99,Online Presence Package A,1
2753.0,8205.0,588.0,0.0,588.0,3660,$49.00,Online Presence Package A,1
2764.0,7010.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Local Listing (City),1
2766.0,8208.0,588.0,0.0,588.0,3659,$49.00,Local Listing (City),1
2768.0,8211.0,588.0,0.0,588.0,3659,$49.00,Online Presence Package A,1
2787.0,7274.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Local Listing (City),1
2790.0,256067.0,611.88,0.0,611.88,122,$49.99,Winback Listing B,1
2805.0,4002.0,349.65000000000003,0.0,349.65000000000003,3652,$49.95,Local Listing (City),2
2805.0,474707.0,152.97,0.0,152.97,30,$1.00,Winback Listing B,2
2833.0,7429.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Local Listing (City),1
2838.0,4735.0,599.4000000000001,0.0,599.4000000000001,3666,$49.95,Online Presence Package A,1
2855.0,40247.0,600.0,0.0,600.0,1306,$50.00,Winback Listing,1
2866.0,7985.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Online Presence Package A,1
2904.0,2986.0,599.4000000000001,0.0,599.4000000000001,3656,$49.95,Online Presence Package A,1
2930.0,3992.0,828.0,0.0,828.0,3656,$69.00,Local Listing (City),1
2939.0,2996.0,599.4000000000001,0.0,599.4000000000001,3654,$49.95,Local Listing (City),1
2947.0,3376.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Local Listing (City),1
2957.0,46712.0,599.4000000000001,0.0,599.4000000000001,1248,$49.99,Winback Listing,1
2969.0,3507.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Local Listing (City),1
2988.0,476451.0,449.97,0.0,449.97,30,$1.00,Online Presence Package B,1
2991.0,6094.0,228.0,0.0,228.0,2313,$19.00,Online Presence Package A,1
