AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
137,4324,85.5,0.0,85.5,3928.0,$6.00,Local Listing (City),1
156,2514,438.48,0.0,438.48,4001.0,$29.99,Online Presence Package A,1
1047,2746,574.28,0.0,574.28,4772.0,$39.99,Online Presence Package A,1
1320,2765,720.48,0.0,720.48,4283.0,$49.99,Online Presence Package A,1
1327,6098,279.7,0.0,279.7,3044.0,$19.00,Online Presence Package A,1
1328,6100,279.7,0.0,279.7,3044.0,$19.00,Online Presence Package A,1
1483,3236,720.4,0.0,720.4,3868.0,$49.50,Local Listing (City),1
1616,7644,21.95,0.0,21.95,4110.0,$29.95,Online Presence Package A,1
1683,7142,195.05,0.0,195.05,4110.0,$29.95,Local Listing (City),1
1864,123991,3492.18,0.0,3492.18,1461.0,$49.99,Winback Listing B,1
1928,4179,1869.38,0.0,1869.38,4021.0,$129.99,Online Presence Package A,1
1930,6344,701.88,24.0,677.88,4475.0,$49.00,Local Listing (City),1
1941,6355,701.88,0.0,701.88,4120.0,$99.00,Local Listing (City),1
1950,6953,701.88,0.0,701.88,4475.0,$49.00,Local Listing (City),1
1983,7067,714.3,0.0,714.3,4475.0,$49.95,Local Listing (City),1
2017,7653,714.3,0.0,714.3,4475.0,$49.95,Online Presence Package A,1
2040,8126,652.77,0.0,652.77,4471.0,$49.95,Local Listing (City),1
2049,173058,232.0,0.0,232.0,1249.0,$49.99,Amnesty Listing B,3
2049,887546,659.97,395.97,264.0,31.0,$1.00,Amnesty Listing Easy Start B,3
2049,961686,439.98,263.98,176.0,31.0,$1.00,Amnesty Listing Easy Start B,3
2067,2499,720.4,0.0,720.4,4475.0,$0.00,Local Listing (City),1
2090,6088,1441.18,0.0,1441.18,4485.0,$69.99,Online Presence Package A,1
2100,3750,720.4,0.0,720.4,4475.0,$49.95,Online Presence Package A,1
2106,3754,720.4,0.0,720.4,4475.0,$49.95,Online Presence Package A,1
2112,7230,830.58,0.0,830.58,3304.0,$199.99,Online Presence Package A,1
2126,4315,720.4,0.0,720.4,4475.0,$49.95,Local Listing (City),1
2148,754693,1499.95,0.0,1499.95,31.0,$1.00,Amnesty Listing B,1
2154,4954,720.4,0.0,720.4,4475.0,$49.95,Local Listing (City),1
2165,64536,1441.18,0.0,1441.18,1857.0,$49.99,Winback Listing,1
2169,5078,720.4,0.0,720.4,4474.0,$49.95,Local Listing (City),1
2180,5080,720.4,0.0,720.4,4473.0,$49.95,Local Listing (City),1
2197,6514,714.3,0.0,714.3,4444.0,$49.95,Online Presence Package A,1
2224,2536,720.4,0.0,720.4,4453.0,$49.95,Local Listing (City),1
2265,7971,714.3,0.0,714.3,4444.0,$49.95,Local Listing (City),1
2278,7975,714.3,0.0,714.3,4444.0,$49.95,Local Listing (City),1
2289,2321,714.3,0.0,714.3,4445.0,$49.95,Local Listing (City),1
2299,4085,708.0,24.0,684.0,4452.0,$49.95,Local Listing (City),1
2315,6675,229.11,0.0,229.11,4439.0,$39.95,Local Listing (City),1
2316,2841,232.0,0.0,232.0,4444.0,$49.95,Local Listing (City),1
2322,2837,720.4,0.0,720.4,4079.0,$49.95,Local Listing (City),1
2324,2840,720.4,0.0,720.4,4444.0,$49.95,Local Listing (City),1
2329,2665,720.4,0.0,720.4,4443.0,$49.95,Online Presence Package A,1
2330,3167,720.4,0.0,720.4,4444.0,$0.00,Local Listing (City),1
2357,3792,720.4,0.0,720.4,4454.0,$49.95,Online Presence Package A,1
2376,5563,720.4,15.27,705.13,4447.0,$49.95,Local Listing (City),1
2393,4443,720.4,0.0,720.4,4444.0,$49.95,Local Listing (City),1
2403,4631,720.4,32.33,688.07,4444.0,$49.95,Local Listing (City),1
2411,4728,232.0,0.0,232.0,4444.0,$99.90,Local Listing (City),1
2419,20879,1441.18,48.84,1392.34,2444.0,$5.00,Winback Listing,1
2442,6348,702.1,0.0,702.1,4414.0,$49.95,Local Listing (City),1
2443,180889,714.42,0.0,714.42,1183.0,$49.99,Winback Listing B,1
2445,6378,702.1,77.59,624.51,4428.0,$49.95,Online Presence Package A,1
2468,6352,714.3,0.0,714.3,4413.0,$49.95,Local Listing (City),1
2473,7931,720.4,15.26,705.14,4437.0,$49.95,Local Listing (City),1
