AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
281747,730204,1465.44,0.0,1465.44,428.0,$9.99,Winback Listing B,1
281751,524739,244.25,0.0,244.25,759.0,$49.99,Online Presence Package B,1
281763,618028,1328.76,83.03999999999999,1245.72,620.0,$1.01,Winback Listing B,1
281772,524906,1465.44,0.0,1465.44,759.0,$1.00,Online Presence Package B,1
281823,780515,439.96,109.98,329.98,334.0,$109.99,Winback Listing B,1
281843,848935,1709.75,0.0,1709.75,245.0,$0.00,Amnesty Listing Easy Start B,2
281843,20211286,979.96,244.98,734.98,31.0,$1.00,Amnesty Listing B,2
281856,526004,488.48,183.18,305.3,761.0,$1.00,Online Presence Package B,1
281859,20073969,734.97,0.0,734.97,28.0,$24.99,Amnesty Listing B,1
281876,526155,2931.0,0.0,2931.0,730.0,$49.99,Online Presence Package B,1
281885,526190,1099.08,0.0,1099.08,761.0,$49.99,Online Presence Package B,1
281886,20174165,487.98,292.78,195.2,29.0,$1.00,Winback Listing Easy Start B,1
281888,864081,1463.8799999999999,219.56,1244.32,214.0,$1.00,Winback Listing B,1
281920,626060,1941.5900000000001,832.26,1109.33,596.0,$1.00,Winback Listing Easy Start B,1
281938,20041451,487.98,292.78,195.2,29.0,$1.00,Amnesty Listing Easy Start B,1
281943,526885,549.54,0.0,549.54,761.0,$49.99,Online Presence Package B,1
281947,20135586,853.93,256.13,597.8000000000001,29.0,$1.00,Winback Listing B,1
281965,547183,2198.16,650.27,1547.89,732.0,$1.00,Winback Listing B,1
282003,527561,1465.44,459.14,1006.3000000000001,761.0,$49.99,Online Presence Package B,1
282021,883423,975.96,73.2,902.76,184.0,$24.99,Amnesty Listing Easy Start B,1
282024,762511,1465.44,0.0,1465.44,366.0,$1.00,Winback Listing B,1
282039,527812,1099.08,0.0,1099.08,761.0,$49.99,Online Presence Package B,1
282043,947472,121.99,0.0,121.99,122.0,$9.99,Winback Listing B,1
282063,528266,2198.16,0.0,2198.16,759.0,$49.99,Online Presence Package B,1
