AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
137.0,4324.0,86.76,0.0,86.76,4658.0,6.0,Local Listing (City),1
156.0,2514.0,298.0,0.0,298.0,4731.0,29.99,Online Presence Package A,1
1047.0,2746.0,583.5600000000001,0.0,583.5600000000001,5502.0,39.99,Online Presence Package A,1
1320.0,2765.0,732.5999999999999,0.0,732.5999999999999,5013.0,49.99,Online Presence Package A,1
1327.0,6098.0,285.48,0.0,285.48,3774.0,19.0,Online Presence Package A,1
1328.0,6100.0,285.48,0.0,285.48,3774.0,19.0,Online Presence Package A,1
1864.0,123991.0,3638.88,454.86,3184.02,2191.0,49.99,Winback Listing B,1
1889.0,20394383.0,2195.94,585.58,1610.3600000000001,43.0,49.99,Winback Listing B,1
1928.0,4179.0,1108.38,79.16,1029.22,4751.0,129.99,Online Presence Package A,1
1930.0,6344.0,720.24,0.0,720.24,5205.0,49.0,Local Listing (City),1
1950.0,6953.0,180.06,0.0,180.06,5205.0,49.0,Local Listing (City),1
1983.0,7067.0,122.1,0.0,122.1,5205.0,49.95,Local Listing (City),1
2017.0,7653.0,732.5999999999999,0.0,732.5999999999999,5205.0,49.95,Online Presence Package A,1
2040.0,8126.0,670.5600000000001,0.0,670.5600000000001,5201.0,49.95,Local Listing (City),1
2067.0,2499.0,183.14999999999998,0.0,183.14999999999998,5205.0,0.0,Local Listing (City),1
2090.0,6088.0,122.12,0.0,122.12,5215.0,69.99,Online Presence Package A,1
2100.0,3750.0,732.5999999999999,0.0,732.5999999999999,5205.0,49.95,Online Presence Package A,1
2106.0,3754.0,61.05,0.0,61.05,5205.0,49.95,Online Presence Package A,1
2126.0,4315.0,732.5999999999999,0.0,732.5999999999999,5205.0,49.95,Local Listing (City),1
2154.0,4954.0,732.5999999999999,0.0,732.5999999999999,5205.0,49.95,Local Listing (City),1
2164.0,20326750.0,914.97,457.5,457.47,31.0,49.99,Winback Listing Easy Start B,1
2169.0,5078.0,732.5999999999999,0.0,732.5999999999999,5202.0,49.95,Local Listing (City),1
2180.0,5080.0,732.5999999999999,0.0,732.5999999999999,5201.0,49.95,Local Listing (City),1
2265.0,7971.0,732.5999999999999,0.0,732.5999999999999,5174.0,49.95,Local Listing (City),1
2289.0,2321.0,366.29999999999995,0.0,366.29999999999995,5173.0,49.95,Local Listing (City),1
2299.0,4085.0,720.24,0.0,720.24,5182.0,49.95,Local Listing (City),1
2324.0,2840.0,732.5999999999999,0.0,732.5999999999999,5174.0,49.95,Local Listing (City),1
2329.0,2665.0,732.5999999999999,0.0,732.5999999999999,5173.0,49.95,Online Presence Package A,1
