AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
137.0,4324.0,86.76,0.0,86.76,4293.0,6.0,Local Listing (City),1
156.0,2514.0,447.0,0.0,447.0,4366.0,29.99,Online Presence Package A,1
1047.0,2746.0,583.5600000000001,0.0,583.5600000000001,5137.0,39.99,Online Presence Package A,1
1320.0,2765.0,732.5999999999999,0.0,732.5999999999999,4648.0,49.99,Online Presence Package A,1
1327.0,6098.0,285.48,0.0,285.48,3409.0,19.0,Online Presence Package A,1
1328.0,6100.0,285.48,0.0,285.48,3409.0,19.0,Online Presence Package A,1
1483.0,3236.0,366.29999999999995,0.0,366.29999999999995,4233.0,49.5,Local Listing (City),2
1483.0,20183263.0,61.99,0.0,61.99,31.0,0.0,Amnesty Listing B,2
1864.0,123991.0,3638.88,184.97,3453.91,1826.0,49.99,Winback Listing B,1
1928.0,4179.0,1900.08,0.0,1900.08,4384.0,129.99,Online Presence Package A,1
1930.0,6344.0,720.24,12.0,708.24,4840.0,49.0,Local Listing (City),1
1941.0,6355.0,420.14000000000004,0.0,420.14000000000004,4485.0,99.0,Local Listing (City),1
1950.0,6953.0,720.24,0.0,720.24,4840.0,49.0,Local Listing (City),1
1983.0,7067.0,732.5999999999999,0.0,732.5999999999999,4840.0,49.95,Local Listing (City),1
2017.0,7653.0,732.5999999999999,0.0,732.5999999999999,4840.0,49.95,Online Presence Package A,1
2040.0,8126.0,670.5600000000001,55.88,614.6800000000001,4834.0,49.95,Local Listing (City),1
2049.0,20046931.0,1759.92,593.97,1165.95,29.0,1.0,Amnesty Listing Easy Start B,1
2067.0,2499.0,732.5999999999999,0.0,732.5999999999999,4838.0,0.0,Local Listing (City),1
2090.0,6088.0,1465.44,0.0,1465.44,4848.0,69.99,Online Presence Package A,1
2100.0,3750.0,732.5999999999999,0.0,732.5999999999999,4840.0,49.95,Online Presence Package A,1
2106.0,3754.0,732.5999999999999,0.0,732.5999999999999,4840.0,49.95,Online Presence Package A,1
2112.0,20085420.0,731.98,439.18,292.8,31.0,49.99,Winback Listing Easy Start B,1
2126.0,4315.0,732.5999999999999,0.0,732.5999999999999,4840.0,49.95,Local Listing (City),1
2154.0,4954.0,732.5999999999999,0.0,732.5999999999999,4840.0,49.95,Local Listing (City),1
2165.0,64536.0,854.84,0.0,854.84,2222.0,49.99,Winback Listing,1
2169.0,5078.0,732.5999999999999,0.0,732.5999999999999,4839.0,49.95,Local Listing (City),1
2180.0,5080.0,732.5999999999999,0.0,732.5999999999999,4838.0,49.95,Local Listing (City),1
2197.0,6514.0,305.25,0.0,305.25,4809.0,49.95,Online Presence Package A,1
2224.0,2536.0,61.05,0.0,61.05,4816.0,49.95,Local Listing (City),1
2265.0,7971.0,732.5999999999999,0.0,732.5999999999999,4809.0,49.95,Local Listing (City),1
2278.0,7975.0,732.5999999999999,0.0,732.5999999999999,4809.0,49.95,Local Listing (City),1
2289.0,2321.0,732.5999999999999,0.0,732.5999999999999,4810.0,49.95,Local Listing (City),1
2299.0,4085.0,720.24,0.0,720.24,4817.0,49.95,Local Listing (City),1
2322.0,2837.0,183.14999999999998,0.0,183.14999999999998,4444.0,49.95,Local Listing (City),1
2324.0,2840.0,732.5999999999999,0.0,732.5999999999999,4809.0,49.95,Local Listing (City),1
2329.0,2665.0,732.5999999999999,0.0,732.5999999999999,4808.0,49.95,Online Presence Package A,1
2330.0,3167.0,732.5999999999999,0.0,732.5999999999999,4809.0,0.0,Local Listing (City),1
2357.0,3792.0,549.4499999999999,0.0,549.4499999999999,4819.0,49.95,Online Presence Package A,1
2376.0,5563.0,610.5,94.6,515.9,4812.0,49.95,Local Listing (City),1
2393.0,4443.0,732.5999999999999,0.0,732.5999999999999,4809.0,49.95,Local Listing (City),1
2403.0,4631.0,732.5999999999999,0.0,732.5999999999999,4809.0,49.95,Local Listing (City),1
2419.0,20879.0,1465.44,146.54000000000002,1318.9,2807.0,5.0,Winback Listing,1
2442.0,6348.0,732.5999999999999,0.0,732.5999999999999,4779.0,49.95,Local Listing (City),1
2443.0,180889.0,427.34999999999997,0.0,427.34999999999997,1548.0,49.99,Winback Listing B,1
2445.0,6378.0,732.5999999999999,91.56,641.04,4793.0,49.95,Online Presence Package A,1
2468.0,6352.0,732.5999999999999,0.0,732.5999999999999,4778.0,49.95,Local Listing (City),1
2473.0,7931.0,732.5999999999999,115.97,616.63,4802.0,49.95,Local Listing (City),1
