AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
137,4324,77.39999999999999,0.0,77.39999999999999,3563.0,$6.00,Local Listing (City),1
156,2514,386.88,0.0,386.88,3636.0,$29.99,Online Presence Package A,1
1047,2746,515.88,0.0,515.88,4407.0,$39.99,Online Presence Package A,1
1320,2765,644.88,0.0,644.88,3918.0,$49.99,Online Presence Package A,1
1327,6098,245.1,0.0,245.1,2679.0,$19.00,Online Presence Package A,1
1328,6100,245.1,0.0,245.1,2679.0,$19.00,Online Presence Package A,1
1483,3236,644.4000000000001,0.0,644.4000000000001,3504.0,$49.50,Local Listing (City),1
1616,7644,263.4,0.0,263.4,3745.0,$29.95,Online Presence Package A,1
1655,165152,461.92999999999995,0.0,461.92999999999995,915.0,$14.99,Winback Listing B,1
1683,7142,307.08,0.0,307.08,3745.0,$29.95,Local Listing (City),1
1864,123991,3212.1,0.0,3212.1,1096.0,$49.99,Winback Listing B,1
1876,4540,725.2,0.0,725.2,4140.0,$98.00,Online Presence Package A,1
1889,5673,485.09999999999997,0.0,485.09999999999997,4141.0,$49.00,Online Presence Package A,1
1928,4179,1676.88,0.0,1676.88,3656.0,$129.99,Online Presence Package A,1
1930,6344,627.2,0.0,627.2,4110.0,$49.00,Local Listing (City),1
1941,6355,632.1,0.0,632.1,3745.0,$99.00,Local Listing (City),1
1950,6953,627.2,0.0,627.2,4110.0,$49.00,Local Listing (City),1
1983,7067,639.4000000000001,0.0,639.4000000000001,4110.0,$49.95,Local Listing (City),1
2017,7653,659.4000000000001,0.0,659.4000000000001,4110.0,$49.95,Online Presence Package A,1
2040,8126,599.4000000000001,0.0,599.4000000000001,4110.0,$49.95,Local Listing (City),1
2049,173058,644.4000000000001,27.47,616.9300000000001,884.0,$49.99,Amnesty Listing B,1
2067,2499,644.4000000000001,0.0,644.4000000000001,4110.0,$0.00,Local Listing (City),1
2090,6088,1289.8799999999999,0.0,1289.8799999999999,4120.0,$69.99,Online Presence Package A,1
2100,3750,644.4000000000001,0.0,644.4000000000001,4110.0,$49.95,Online Presence Package A,1
2106,3754,644.4000000000001,0.0,644.4000000000001,4110.0,$49.95,Online Presence Package A,1
