AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
2805.0,474707.0,733.08,0.0,733.08,487.0,1.0,Winback Listing B,1
2833.0,7429.0,714.3,0.0,714.3,4383.0,49.95,Local Listing (City),1
2838.0,4735.0,720.4,0.0,720.4,4397.0,49.95,Online Presence Package A,1
2855.0,40247.0,714.4499999999999,0.0,714.4499999999999,2037.0,50.0,Winback Listing,1
2866.0,7985.0,714.3,0.0,714.3,4383.0,49.95,Online Presence Package A,1
2904.0,2986.0,720.4,0.0,720.4,4387.0,49.95,Online Presence Package A,1
2930.0,3992.0,235.62,0.0,235.62,4387.0,69.0,Local Listing (City),1
2939.0,2996.0,720.4,0.0,720.4,4385.0,49.95,Local Listing (City),1
2947.0,3376.0,720.4,0.0,720.4,4383.0,49.95,Local Listing (City),1
2957.0,46712.0,714.3,0.0,714.3,1979.0,49.99,Winback Listing,1
2969.0,3507.0,54.95,0.0,54.95,4383.0,49.95,Local Listing (City),1
2988.0,476451.0,2161.78,0.0,2161.78,496.0,1.0,Online Presence Package B,1
2991.0,6094.0,279.7,0.0,279.7,3044.0,19.0,Online Presence Package A,1
2993.0,6096.0,279.7,0.0,279.7,3044.0,19.0,Online Presence Package A,1
3011.0,3847.0,720.4,0.0,720.4,4383.0,49.95,Local Listing (City),1
3043.0,4227.0,720.4,0.0,720.4,4384.0,49.95,Local Listing (City),1
3047.0,4666.0,1136.2,0.0,1136.2,4385.0,79.0,Local Listing (City),1
3049.0,557090.0,684.23,207.44,476.79,334.0,1.0,Amnesty Listing Easy Start B,3
3049.0,889836.0,219.99,175.99,44.0,31.0,1.0,Winback Listing Easy Start B,3
3049.0,956011.0,439.98,263.98,176.0,40.0,1.0,Winback Listing Easy Start B,3
3053.0,4337.0,1136.2,0.0,1136.2,4383.0,79.0,Local Listing (City),1
3065.0,7024.0,714.3,0.0,714.3,4367.0,20.0,Online Presence Package A,1
3069.0,5523.0,292.29999999999995,0.0,292.29999999999995,4387.0,20.0,Local Listing (City),1
3070.0,5739.0,365.4,0.0,365.4,4387.0,25.0,Local Listing (City),1
3080.0,4747.0,720.4,0.0,720.4,4383.0,49.95,Online Presence Package A,1
3107.0,4967.0,708.0,36.0,672.0,4383.0,49.0,Local Listing (City),1
3112.0,4971.0,720.4,0.0,720.4,4383.0,49.95,Local Listing (City),1
3121.0,20854.0,708.46,32.99,675.47,2454.0,49.99,Online Presence Package A,2
3121.0,916914.0,487.96,122.0,365.96,31.0,1.0,Winback Listing B,2
3129.0,5097.0,659.35,0.0,659.35,4383.0,49.95,Online Presence Package A,1
3171.0,721659.0,720.4,0.0,720.4,92.0,0.0,Amnesty Listing B,1
3172.0,6357.0,720.4,0.0,720.4,4381.0,49.95,Local Listing (City),1
3187.0,2378.0,714.3,0.0,714.3,4363.0,0.0,Online Presence Package A,1
3227.0,753837.0,569.6700000000001,81.96,487.71000000000004,30.0,0.0,Amnesty Listing B,1
3228.0,5265.0,569.6700000000001,81.96,487.71000000000004,4361.0,49.0,Local Listing (City),1
3248.0,6379.0,714.3,0.0,714.3,4345.0,49.95,Online Presence Package A,1
3251.0,7434.0,714.3,0.0,714.3,4352.0,49.95,Local Listing (City),1
3259.0,2664.0,409.05,0.0,409.05,4352.0,49.95,Online Presence Package A,1
3262.0,19589.0,720.48,0.0,720.48,2467.0,49.99,Online Presence Package A,1
3266.0,7761.0,714.3,0.0,714.3,4352.0,49.95,Local Listing (City),1
3274.0,5630.0,708.0,0.0,708.0,4367.0,49.0,Online Presence Package A,1
3275.0,5631.0,708.0,0.0,708.0,4367.0,49.0,Online Presence Package A,1
3276.0,5694.0,708.0,0.0,708.0,4367.0,49.0,Local Listing (City),1
3278.0,7768.0,701.88,0.0,701.88,4353.0,49.0,Local Listing (City),1
3279.0,7773.0,701.88,0.0,701.88,4353.0,49.0,Online Presence Package A,1
3324.0,2672.0,720.4,0.0,720.4,4353.0,49.95,Local Listing (City),1
3328.0,2696.0,755.23,0.0,755.23,4363.0,250.0,Online Presence Package A,1
3331.0,2854.0,720.4,0.0,720.4,4352.0,49.95,Local Listing (City),1
3336.0,7308.0,714.3,0.0,714.3,4343.0,49.95,Online Presence Package A,1
3365.0,3382.0,720.4,0.0,720.4,4325.0,149.95,Local Listing (City),1
3388.0,3387.0,720.4,99.46000000000001,620.94,4351.0,49.95,Local Listing (City),1
3396.0,7436.0,286.95,0.0,286.95,4338.0,49.95,Local Listing (City),1
3397.0,7438.0,287.1,0.0,287.1,4338.0,50.0,Local Listing (City),1
3402.0,4630.0,598.3,0.0,598.3,4354.0,49.95,Local Listing (City),1
3414.0,4450.0,720.4,0.0,720.4,4352.0,49.95,Local Listing (City),1
3442.0,5677.0,720.4,0.0,720.4,4352.0,49.95,Local Listing (City),1
3449.0,8221.0,720.5,0.0,720.5,4244.0,50.0,Online Presence Package A,1
3450.0,8224.0,720.5,0.0,720.5,4244.0,50.0,Online Presence Package A,1
3451.0,8228.0,720.5,0.0,720.5,4244.0,50.0,Online Presence Package A,1
3452.0,8231.0,720.5,0.0,720.5,4244.0,50.0,Online Presence Package A,1
3453.0,8233.0,720.5,0.0,720.5,4244.0,50.0,Online Presence Package A,1
3459.0,4632.0,415.15,0.0,415.15,4347.0,49.95,Online Presence Package A,1
3461.0,6359.0,348.0,0.0,348.0,4324.0,49.95,Local Listing (City),1
3491.0,753845.0,569.6700000000001,81.96,487.71000000000004,30.0,0.0,Amnesty Listing B,1
3492.0,753777.0,569.6700000000001,81.96,487.71000000000004,31.0,0.0,Amnesty Listing B,1
3502.0,7053.0,714.3,0.0,714.3,4324.0,49.95,Local Listing (City),1
3506.0,873799.0,731.98,439.18,292.8,30.0,1.0,Amnesty Listing Easy Start B,1
3513.0,660517.0,720.8399999999999,0.0,720.8399999999999,184.0,0.0,Winback Listing B,1
3525.0,7397.0,714.3,0.0,714.3,4324.0,49.95,Local Listing (City),1
3528.0,7658.0,714.3,41.67,672.63,4324.0,49.95,Online Presence Package A,1
3539.0,7776.0,714.3,0.0,714.3,4316.0,49.95,Online Presence Package A,1
3548.0,8382.0,714.42,0.0,714.42,4326.0,49.99,Online Presence Package A,1
3549.0,7996.0,286.95,0.0,286.95,4324.0,49.95,Local Listing (City),1
3551.0,8006.0,714.3,0.0,714.3,4324.0,49.95,Local Listing (City),1
3553.0,494949.0,55.01,0.0,55.01,457.0,1.0,Winback Listing B,3
3553.0,801258.0,219.98,0.0,219.98,31.0,0.0,Amnesty Listing B,3
3553.0,885722.0,659.9399999999999,0.0,659.9399999999999,31.0,0.0,Amnesty Listing B,3
3561.0,8319.0,701.88,0.0,701.88,4324.0,149.0,Local Listing (City),1
3565.0,7647.0,720.4,0.0,720.4,4309.0,149.95,Local Listing (City),1
3569.0,3077.0,720.4,0.0,720.4,4326.0,0.0,Online Presence Package A,1
3572.0,2681.0,720.4,0.0,720.4,4325.0,149.95,Online Presence Package A,1
3579.0,173977.0,2143.59,1497.57,646.02,1218.0,49.99,Amnesty Listing B,1
3590.0,5537.0,574.2,0.0,574.2,4336.0,75.0,Local Listing (City),1
3597.0,2313.0,225.9,0.0,225.9,4320.0,150.0,Online Presence Package A,1
3647.0,4641.0,720.4,0.0,720.4,4324.0,149.95,Local Listing (City),1
3683.0,4840.0,720.4,0.0,720.4,4327.0,49.95,Local Listing (City),1
