AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
137,4324,86.76,0.0,86.76,4658,$6.00,Local Listing (City),1
156,2514,298.0,0.0,298.0,4731,$29.99,Online Presence Package A,1
1047,2746,583.5600000000001,0.0,583.5600000000001,5502,$39.99,Online Presence Package A,1
1320,2765,732.5999999999999,0.0,732.5999999999999,5013,$49.99,Online Presence Package A,1
1327,6098,285.48,0.0,285.48,3774,$19.00,Online Presence Package A,1
1328,6100,285.48,0.0,285.48,3774,$19.00,Online Presence Package A,1
1864,123991,3638.88,454.86,3184.02,2191,$49.99,Winback Listing B,1
1889,20394383,2195.94,585.58,1610.3600000000001,43,$49.99,Winback Listing B,1
1928,4179,1108.38,79.16,1029.22,4751,$129.99,Online Presence Package A,1
1930,6344,720.24,0.0,720.24,5205,$49.00,Local Listing (City),1
1950,6953,180.06,0.0,180.06,5205,$49.00,Local Listing (City),1
1983,7067,122.1,0.0,122.1,5205,$49.95,Local Listing (City),1
2017,7653,732.5999999999999,0.0,732.5999999999999,5205,$49.95,Online Presence Package A,1
2040,8126,670.5600000000001,0.0,670.5600000000001,5201,$49.95,Local Listing (City),1
2067,2499,183.14999999999998,0.0,183.14999999999998,5205,$0.00,Local Listing (City),1
2090,6088,122.12,0.0,122.12,5215,$69.99,Online Presence Package A,1
2100,3750,732.5999999999999,0.0,732.5999999999999,5205,$49.95,Online Presence Package A,1
2106,3754,61.05,0.0,61.05,5205,$49.95,Online Presence Package A,1
2126,4315,732.5999999999999,0.0,732.5999999999999,5205,$49.95,Local Listing (City),1
2154,4954,732.5999999999999,0.0,732.5999999999999,5205,$49.95,Local Listing (City),1
2164,20326750,914.97,457.5,457.47,31,$49.99,Winback Listing Easy Start B,1
2169,5078,732.5999999999999,0.0,732.5999999999999,5202,$49.95,Local Listing (City),1
2180,5080,732.5999999999999,0.0,732.5999999999999,5201,$49.95,Local Listing (City),1
2265,7971,732.5999999999999,0.0,732.5999999999999,5174,$49.95,Local Listing (City),1
2289,2321,366.29999999999995,0.0,366.29999999999995,5173,$49.95,Local Listing (City),1
2299,4085,720.24,0.0,720.24,5182,$49.95,Local Listing (City),1
2324,2840,732.5999999999999,0.0,732.5999999999999,5174,$49.95,Local Listing (City),1
2329,2665,732.5999999999999,0.0,732.5999999999999,5173,$49.95,Online Presence Package A,1
2330,3167,732.5999999999999,0.0,732.5999999999999,5174,$0.00,Local Listing (City),1
2393,4443,732.5999999999999,0.0,732.5999999999999,5174,$49.95,Local Listing (City),1
2403,4631,305.25,0.0,305.25,5174,$49.95,Local Listing (City),1
2419,20301028,1341.8899999999999,122.0,1219.8899999999999,31,$1.00,Winback Listing B,1
2442,6348,732.5999999999999,0.0,732.5999999999999,5144,$49.95,Local Listing (City),1
2445,20373707,548.97,91.49,457.48,37,$1.00,Winback Listing B,1
2468,6352,732.5999999999999,0.0,732.5999999999999,5143,$49.95,Local Listing (City),1
2473,7931,732.5999999999999,0.0,732.5999999999999,5167,$49.95,Local Listing (City),1
2511,5534,732.5999999999999,0.0,732.5999999999999,5166,$49.95,Online Presence Package A,1
2541,7637,732.5999999999999,0.0,732.5999999999999,5144,$49.95,Local Listing (City),1
2542,3457,447.0,0.0,447.0,5153,$30.00,Online Presence Package A,1
2571,6009,732.5999999999999,51.879999999999995,680.72,5150,$50.00,Local Listing (City),1
2572,6012,732.5999999999999,45.78,686.8199999999999,5150,$50.00,Local Listing (City),1
2579,2315,732.5999999999999,0.0,732.5999999999999,5142,$49.95,Local Listing (City),1
2744,18121,366.29999999999995,0.0,366.29999999999995,3256,$49.99,Online Presence Package A,2
2744,20425306,375.0,0.0,375.0,32,$1.00,Amnesty Listing B,2
2753,8205,60.02,0.0,60.02,5121,$49.00,Online Presence Package A,1
2764,7010,732.5999999999999,0.0,732.5999999999999,5113,$49.95,Local Listing (City),1
2766,8208,60.02,0.0,60.02,5120,$49.00,Local Listing (City),1
2787,7274,732.5999999999999,0.0,732.5999999999999,5111,$49.95,Local Listing (City),1
2833,7429,732.5999999999999,0.0,732.5999999999999,5113,$49.95,Local Listing (City),1
2838,4735,732.5999999999999,0.0,732.5999999999999,5127,$49.95,Online Presence Package A,1
2855,40247,732.5999999999999,0.0,732.5999999999999,2765,$50.00,Winback Listing,1
2866,7985,732.5999999999999,0.0,732.5999999999999,5113,$49.95,Online Presence Package A,1
2904,2986,427.34999999999997,0.0,427.34999999999997,5117,$49.95,Online Presence Package A,2
2904,20455429,209.96999999999997,69.99,139.98,3,$1.00,Amnesty Listing B,2
2939,2996,732.5999999999999,0.0,732.5999999999999,5115,$49.95,Local Listing (City),1
2947,3376,732.5999999999999,0.0,732.5999999999999,5113,$49.95,Local Listing (City),1
2957,46712,732.5999999999999,0.0,732.5999999999999,2709,$49.99,Winback Listing,1
2988,476451,1831.8000000000002,0.0,1831.8000000000002,1226,$1.00,Online Presence Package B,1
2991,6094,285.48,0.0,285.48,3774,$19.00,Online Presence Package A,1
2993,6096,285.48,0.0,285.48,3774,$19.00,Online Presence Package A,1
3011,3847,732.5999999999999,0.0,732.5999999999999,5113,$49.95,Local Listing (City),1
3047,4666,1154.8799999999999,0.0,1154.8799999999999,5115,$79.00,Local Listing (City),1
3053,4337,1154.8799999999999,0.0,1154.8799999999999,5113,$79.00,Local Listing (City),1
3069,5523,297.96,0.0,297.96,5117,$20.00,Local Listing (City),1
3070,5739,372.48,0.0,372.48,5117,$25.00,Local Listing (City),1
3080,4747,244.2,0.0,244.2,5113,$49.95,Online Presence Package A,1
3107,4967,720.24,0.0,720.24,5113,$49.00,Local Listing (City),1
3112,4971,732.5999999999999,0.0,732.5999999999999,5113,$49.95,Local Listing (City),1
3172,6357,732.5999999999999,0.0,732.5999999999999,5111,$49.95,Local Listing (City),1
3187,2378,732.5999999999999,0.0,732.5999999999999,5091,$0.00,Online Presence Package A,1
3227,753837,534.9300000000001,72.92999999999999,462.0,760,$0.00,Amnesty Listing B,1
3228,5265,486.3,72.92999999999999,413.37,5091,$49.00,Local Listing (City),1
3248,6379,732.5999999999999,0.0,732.5999999999999,5075,$49.95,Online Presence Package A,1
3251,7434,732.5999999999999,0.0,732.5999999999999,5082,$49.95,Local Listing (City),1
3262,19589,122.1,0.0,122.1,3197,$49.99,Online Presence Package A,1
3266,7761,732.5999999999999,0.0,732.5999999999999,5082,$49.95,Local Listing (City),1
3274,5630,720.24,0.0,720.24,5097,$49.00,Online Presence Package A,1
3275,5631,720.24,0.0,720.24,5097,$49.00,Online Presence Package A,1
3276,5694,720.24,0.0,720.24,5097,$49.00,Local Listing (City),1
3278,7768,720.24,0.0,720.24,5083,$49.00,Local Listing (City),1
3279,7773,720.24,0.0,720.24,5083,$49.00,Online Presence Package A,1
3324,2672,732.5999999999999,0.0,732.5999999999999,5083,$49.95,Local Listing (City),1
3331,2854,732.5999999999999,0.0,732.5999999999999,5082,$49.95,Local Listing (City),1
3336,7308,732.5999999999999,0.0,732.5999999999999,5071,$49.95,Online Presence Package A,1
3365,3382,732.5999999999999,0.0,732.5999999999999,5055,$149.95,Local Listing (City),1
3388,3387,671.55,121.66000000000001,549.89,5081,$49.95,Local Listing (City),1
3414,4450,732.5999999999999,0.0,732.5999999999999,5082,$49.95,Local Listing (City),1
3449,8221,427.34999999999997,45.78,381.57,4974,$50.00,Online Presence Package A,1
3453,8233,427.34999999999997,45.78,381.57,4974,$50.00,Online Presence Package A,1
3491,753845,486.3,72.92999999999999,413.37,760,$0.00,Amnesty Listing B,1
3492,753777,534.9300000000001,72.92999999999999,462.0,761,$0.00,Amnesty Listing B,1
3502,7053,732.5999999999999,30.52,702.0799999999999,5054,$49.95,Local Listing (City),1
3513,20083316,743.88,0.0,743.88,306,$1.00,Amnesty Listing B,1
3525,7397,732.5999999999999,0.0,732.5999999999999,5054,$49.95,Local Listing (City),1
3528,7658,427.34999999999997,0.0,427.34999999999997,5054,$49.95,Online Presence Package A,1
3539,7776,732.5999999999999,0.0,732.5999999999999,5046,$49.95,Online Presence Package A,1
3548,8382,732.5999999999999,0.0,732.5999999999999,5056,$49.99,Online Presence Package A,1
3551,8006,549.4499999999999,0.0,549.4499999999999,5054,$49.95,Local Listing (City),1
3565,7647,183.14999999999998,0.0,183.14999999999998,5039,$149.95,Local Listing (City),2
3565,20358702,1280.93,0.0,1280.93,34,$9.99,Winback Listing B,2
3569,3077,732.5999999999999,0.0,732.5999999999999,5056,$0.00,Online Presence Package A,1
3572,2681,61.05,0.0,61.05,5055,$149.95,Online Presence Package A,1
3579,173977,2198.16,1534.8000000000002,663.36,1948,$49.99,Amnesty Listing B,1
3590,5537,583.5600000000001,0.0,583.5600000000001,5066,$75.00,Local Listing (City),1
3647,4641,427.34999999999997,0.0,427.34999999999997,5054,$149.95,Local Listing (City),1
