AccountNumber,Unique_Deal_Count,Total_Amount
137.0,1,77.39999999999999
156.0,1,386.88
1047.0,1,515.88
1320.0,1,644.88
1327.0,1,245.1
1328.0,1,245.1
1483.0,1,644.4000000000001
1616.0,1,263.4
1655.0,1,461.93
1683.0,1,307.08
1864.0,1,3212.1
1876.0,1,725.2
1889.0,1,485.1
1928.0,1,1676.88
1930.0,1,627.2
1941.0,1,632.1
1950.0,1,627.2
1983.0,1,639.4000000000001
2017.0,1,659.4000000000001
2040.0,1,599.4000000000001
2049.0,1,644.4000000000001
2067.0,1,644.4000000000001
2090.0,1,1289.88
2100.0,1,644.4000000000001
2106.0,1,644.4000000000001
2112.0,1,1319.88
2126.0,1,644.4000000000001
2154.0,1,644.4000000000001
2165.0,1,1319.88
2169.0,1,644.4000000000001
2180.0,1,644.4000000000001
2189.0,1,534.5
2197.0,1,659.4000000000001
2224.0,1,644.4000000000001
2265.0,1,644.4000000000001
2268.0,1,149.85000000000002
2278.0,1,644.4000000000001
2289.0,1,644.4000000000001
2299.0,1,632.1
2315.0,1,515.4000000000001
2316.0,1,644.4000000000001
2322.0,1,659.4000000000001
2324.0,1,644.4000000000001
2329.0,1,644.4000000000001
2330.0,1,644.4000000000001
2336.0,1,534.5
2357.0,1,644.4000000000001
2376.0,1,644.4000000000001
2393.0,1,644.4000000000001
2403.0,1,644.4000000000001
2411.0,1,644.4000000000001
2419.0,1,1289.88
2442.0,1,639.4000000000001
2443.0,1,639.88
2445.0,1,644.4000000000001
2468.0,1,639.4000000000001
2473.0,1,644.4000000000001
2498.0,1,644.88
2511.0,1,644.4000000000001
2530.0,1,644.4000000000001
2531.0,1,109.9
2541.0,1,644.4000000000001
2542.0,1,387.0
2571.0,1,645.0
2572.0,1,645.0
2579.0,1,644.4000000000001
2582.0,1,490.2
2584.0,1,490.2
2591.0,1,659.4000000000001
2623.0,1,644.4000000000001
2697.0,1,639.4000000000001
2744.0,1,644.4000000000001
2753.0,1,632.1
2764.0,1,639.4000000000001
2766.0,1,632.1
2768.0,1,632.1
2787.0,1,639.4000000000001
2790.0,1,657.7800000000001
2805.0,1,657.7800000000001
2833.0,1,644.4000000000001
2838.0,1,644.4000000000001
2855.0,1,640.0
2866.0,1,644.4000000000001
2904.0,1,644.4000000000001
2930.0,1,890.1
2939.0,1,644.4000000000001
2947.0,1,644.4000000000001
2957.0,1,639.4000000000001
2969.0,1,644.4000000000001
2988.0,1,1934.88
2991.0,1,245.1
2993.0,1,245.1
2995.0,1,424.6
3011.0,1,644.4000000000001
3043.0,1,644.4000000000001
3047.0,1,1019.1
3049.0,1,2179.9
3053.0,1,1019.1
3057.0,1,429.6
3058.0,1,424.6
3065.0,1,659.4000000000001
3069.0,1,258.0
3070.0,1,322.5
3074.0,1,99.9
3080.0,1,644.4000000000001
3107.0,1,632.1
3112.0,1,644.4000000000001
3121.0,1,1289.88
3129.0,1,644.4000000000001
3135.0,1,731.4000000000001
3172.0,1,659.4000000000001
3187.0,1,644.4000000000001
3227.0,1,472.0
3228.0,1,516.0
3248.0,1,639.4000000000001
3251.0,1,644.4000000000001
3259.0,1,644.4000000000001
3262.0,1,644.88
3266.0,1,644.4000000000001
3274.0,1,632.1
3275.0,1,632.1
3276.0,1,632.1
3278.0,1,632.1
3279.0,1,632.1
3315.0,1,204.8
3322.0,1,644.4000000000001
3324.0,1,644.4000000000001
3328.0,1,903.0
3331.0,1,644.4000000000001
3332.0,1,461.93
3336.0,1,659.4000000000001
3365.0,1,644.4000000000001
3371.0,1,424.6
3388.0,1,644.4000000000001
3396.0,1,644.4000000000001
3397.0,1,645.0
3398.0,1,315.63
3402.0,1,659.4000000000001
3412.0,1,110.0
3414.0,1,644.4000000000001
3422.0,1,515.88
3438.0,1,494.55
3442.0,1,644.4000000000001
3447.0,1,589.45
3449.0,1,660.0
3450.0,1,660.0
3451.0,1,660.0
3452.0,1,660.0
3453.0,1,660.0
3459.0,1,659.4000000000001
3461.0,1,639.4000000000001
3491.0,1,472.0
3492.0,1,472.0
3502.0,1,639.4000000000001
3525.0,1,644.4000000000001
3528.0,1,644.4000000000001
3539.0,1,659.4000000000001
3548.0,1,644.88
3549.0,1,659.4000000000001
3551.0,1,644.4000000000001
3553.0,1,645.12
3561.0,1,632.1
3565.0,1,644.4000000000001
3569.0,1,644.4000000000001
3572.0,1,644.4000000000001
3576.0,1,782.1
3579.0,1,1919.88
3590.0,1,515.4000000000001
3597.0,1,644.4000000000001
3647.0,1,644.4000000000001
3683.0,1,659.4000000000001
3710.0,1,644.4000000000001
3718.0,1,632.1
3720.0,1,644.88
3739.0,1,639.4000000000001
3752.0,1,472.0
3763.0,1,659.4000000000001
3773.0,1,535.1
3790.0,1,639.4000000000001
3792.0,1,644.88
3795.0,1,627.2
3799.0,1,472.0
3802.0,1,646.8
3812.0,1,584.45
3813.0,1,639.4000000000001
3826.0,1,644.4000000000001
3832.0,1,659.4000000000001
3844.0,1,838.3799999999999
3869.0,1,644.4000000000001
3872.0,1,644.4000000000001
3885.0,1,644.4000000000001
3909.0,1,644.4000000000001
3914.0,1,644.88
3924.0,1,589.45
3933.0,1,644.4000000000001
3935.0,1,259.95
3939.0,1,644.4000000000001
3948.0,1,644.4000000000001
3950.0,1,645.12
3959.0,1,644.4000000000001
3961.0,1,644.4000000000001
3976.0,1,515.4000000000001
3980.0,1,644.4000000000001
3982.0,1,644.4000000000001
3995.0,1,659.4000000000001
4001.0,1,499.98
4023.0,1,644.4000000000001
4024.0,1,644.4000000000001
4027.0,1,644.4000000000001
4042.0,1,599.4000000000001
4050.0,1,423.5
4052.0,1,639.4000000000001
4077.0,1,644.4000000000001
4078.0,1,967.5
4103.0,1,1031.76
4130.0,1,644.4000000000001
4131.0,1,644.4000000000001
4162.0,1,644.4000000000001
4164.0,1,604.45
4168.0,1,644.4000000000001
4184.0,1,644.4000000000001
4185.0,1,49.95
4199.0,1,659.4000000000001
4213.0,1,639.4000000000001
4214.0,1,639.4000000000001
4223.0,1,1289.88
4240.0,1,644.4000000000001
4248.0,1,2379.8900000000003
4253.0,1,644.4000000000001
4254.0,1,644.4000000000001
4277.0,1,644.4000000000001
4300.0,1,644.4000000000001
4327.0,1,1019.1
4346.0,1,529.9
4349.0,1,600.12
4351.0,1,515.88
4352.0,1,515.88
4359.0,1,644.4000000000001
4360.0,1,644.4000000000001
4366.0,1,49.95
4380.0,1,527.9399999999999
4389.0,1,645.12
4396.0,1,632.1
4398.0,1,1934.88
4407.0,1,1042.8000000000002
4418.0,1,515.88
4419.0,1,515.88
4464.0,1,644.4000000000001
4475.0,1,644.4000000000001
4476.0,1,515.88
4477.0,1,644.4000000000001
4490.0,1,148.0
4520.0,1,767.4000000000001
4522.0,1,600.0
4527.0,1,639.4000000000001
4528.0,1,472.0
4529.0,1,516.0
4530.0,1,516.0
4531.0,1,472.0
4532.0,1,516.0
4541.0,1,1098.1
4552.0,1,644.4000000000001
4553.0,1,644.4000000000001
4568.0,1,644.4000000000001
4574.0,1,644.4000000000001
4597.0,1,645.0
4605.0,1,644.4000000000001
4606.0,1,2579.88
4615.0,1,644.4000000000001
4624.0,1,644.4000000000001
4626.0,1,1019.1
4648.0,1,515.88
4649.0,1,515.88
4650.0,1,515.88
4653.0,1,761.1
4658.0,1,639.4000000000001
4662.0,1,644.4000000000001
4663.0,1,773.4000000000001
4670.0,1,512.0
4671.0,1,512.0
4672.0,1,644.4000000000001
4693.0,1,644.4000000000001
4694.0,1,644.4000000000001
4713.0,1,644.4000000000001
4719.0,1,515.88
4720.0,1,163.96
4721.0,1,644.4000000000001
4725.0,1,245.8
4732.0,1,199.98
4737.0,1,3869.88
4738.0,1,516.0
4739.0,1,516.0
4740.0,1,472.0
4741.0,1,516.0
4743.0,1,644.4000000000001
4744.0,1,323.9
4761.0,1,767.4000000000001
4791.0,1,632.1
4798.0,1,639.4000000000001
4819.0,1,204.8
4849.0,1,1042.8000000000002
4850.0,1,173.8
4858.0,1,639.4000000000001
4887.0,1,149.99
4888.0,1,644.4000000000001
4890.0,1,639.4000000000001
4903.0,1,1031.88
4908.0,1,639.88
4909.0,1,515.88
4910.0,1,515.88
4957.0,1,645.12
4972.0,1,773.4000000000001
4996.0,1,322.5
5047.0,1,890.1
5055.0,1,923.4
5062.0,1,644.4000000000001
5066.0,1,1031.88
5105.0,1,659.4000000000001
5150.0,1,516.0
5152.0,1,472.0
5154.0,1,472.0
5155.0,1,472.0
5156.0,1,472.0
5158.0,1,644.88
5251.0,1,1019.1
5252.0,1,1042.8000000000002
5275.0,1,632.1
5276.0,1,644.4000000000001
5279.0,1,599.4000000000001
5307.0,1,1023.88
5335.0,1,1023.88
5346.0,1,383.88
5402.0,1,395.4
5471.0,1,644.4000000000001
5478.0,1,644.4000000000001
5520.0,1,632.1
5540.0,1,1019.1
5579.0,1,384.65
5604.0,1,644.88
5615.0,1,644.4000000000001
5624.0,1,1011.2
5636.0,1,644.4000000000001
5639.0,1,99.9
5659.0,1,890.1
5691.0,1,1019.1
