AccountNumber,Unique_Deal_Count,Total_Amount
137.0,1,86.76
156.0,1,447.0
1047.0,1,583.5600000000001
1320.0,1,732.5999999999999
1327.0,1,285.48
1328.0,1,285.48
1864.0,1,3638.88
1928.0,1,1900.08
1930.0,1,720.24
1941.0,1,420.14
1950.0,1,720.24
1983.0,1,732.5999999999999
2017.0,1,732.5999999999999
2040.0,1,670.5600000000001
2049.0,1,1759.92
2067.0,1,732.5999999999999
2090.0,1,1465.44
2100.0,1,732.5999999999999
2106.0,1,732.5999999999999
2112.0,1,731.98
2126.0,1,732.5999999999999
2154.0,1,732.5999999999999
2165.0,1,854.84
2169.0,1,732.5999999999999
2180.0,1,732.5999999999999
2197.0,1,305.25
2224.0,1,61.05
2265.0,1,732.5999999999999
2278.0,1,732.5999999999999
2289.0,1,732.5999999999999
2299.0,1,720.24
2322.0,1,183.15
2324.0,1,732.5999999999999
2329.0,1,732.5999999999999
2330.0,1,732.5999999999999
2357.0,1,549.4499999999999
2376.0,1,610.5
2393.0,1,732.5999999999999
2403.0,1,732.5999999999999
2419.0,1,1465.44
2442.0,1,732.5999999999999
2443.0,1,427.35
2445.0,1,732.5999999999999
2468.0,1,732.5999999999999
2473.0,1,732.5999999999999
2498.0,1,61.05
2511.0,1,732.5999999999999
2541.0,1,732.5999999999999
2542.0,1,447.0
2571.0,1,732.5999999999999
2572.0,1,732.5999999999999
2579.0,1,732.5999999999999
2582.0,1,558.72
2584.0,1,558.72
2744.0,1,732.5999999999999
2753.0,1,720.24
2764.0,1,732.5999999999999
2766.0,1,720.24
2768.0,1,120.04
2787.0,1,732.5999999999999
2805.0,1,558.8100000000001
2833.0,1,732.5999999999999
2838.0,1,732.5999999999999
2855.0,1,732.5999999999999
2866.0,1,732.5999999999999
2904.0,1,732.5999999999999
2939.0,1,732.5999999999999
2947.0,1,732.5999999999999
2957.0,1,732.5999999999999
2988.0,1,2198.16
2991.0,1,285.48
2993.0,1,285.48
