AccountNumber,Unique_Deal_Count,Total_Amount
137.0,1,85.5
156.0,1,438.48
1047.0,1,574.28
1320.0,1,720.48
1327.0,1,279.7
1328.0,1,279.7
1483.0,1,720.4
1616.0,1,21.95
1683.0,1,195.05
1864.0,1,3492.18
1928.0,1,1869.38
1930.0,1,701.88
1941.0,1,701.88
1950.0,1,701.88
1983.0,1,714.3
2017.0,1,714.3
2040.0,1,652.77
2067.0,1,720.4
2090.0,1,1441.18
2100.0,1,720.4
2106.0,1,720.4
2112.0,1,830.58
2126.0,1,720.4
2148.0,1,1499.95
2154.0,1,720.4
2165.0,1,1441.18
2169.0,1,720.4
2180.0,1,720.4
2197.0,1,714.3
2224.0,1,720.4
2265.0,1,714.3
2278.0,1,714.3
2289.0,1,714.3
2299.0,1,708.0
2315.0,1,229.11
2316.0,1,232.0
2322.0,1,720.4
2324.0,1,720.4
2329.0,1,720.4
2330.0,1,720.4
2357.0,1,720.4
2376.0,1,720.4
2393.0,1,720.4
2403.0,1,720.4
2411.0,1,232.0
2419.0,1,1441.18
2442.0,1,702.1
2443.0,1,714.42
2445.0,1,702.1
2468.0,1,714.3
2473.0,1,720.4
2498.0,1,720.48
2511.0,1,720.4
2541.0,1,714.3
2542.0,1,438.5
2571.0,1,720.5
2572.0,1,720.5
2579.0,1,714.3
2582.0,1,549.2
2584.0,1,549.2
2591.0,1,659.35
2623.0,1,476.2
2697.0,1,225.9
2744.0,1,720.4
2753.0,1,701.88
2764.0,1,714.3
2766.0,1,701.88
2768.0,1,701.88
2787.0,1,714.3
2790.0,1,112.18
2805.0,1,733.08
2833.0,1,714.3
2838.0,1,720.4
2855.0,1,714.4499999999999
2866.0,1,714.3
2904.0,1,720.4
2930.0,1,235.62
2939.0,1,720.4
2947.0,1,720.4
2957.0,1,714.3
2969.0,1,54.95
2988.0,1,2161.78
2991.0,1,279.7
2993.0,1,279.7
3011.0,1,720.4
3043.0,1,720.4
3047.0,1,1136.2
3053.0,1,1136.2
3065.0,1,714.3
3069.0,1,292.29999999999995
3070.0,1,365.4
3080.0,1,720.4
3107.0,1,708.0
3112.0,1,720.4
3129.0,1,659.35
3171.0,1,720.4
3172.0,1,720.4
3187.0,1,714.3
3227.0,1,569.6700000000001
3228.0,1,569.6700000000001
3248.0,1,714.3
3251.0,1,714.3
3259.0,1,409.05
3262.0,1,720.48
3266.0,1,714.3
3274.0,1,708.0
3275.0,1,708.0
3276.0,1,708.0
3278.0,1,701.88
3279.0,1,701.88
3324.0,1,720.4
3328.0,1,755.23
3331.0,1,720.4
3336.0,1,714.3
3365.0,1,720.4
3388.0,1,720.4
3396.0,1,286.95
3397.0,1,287.1
3402.0,1,598.3
3414.0,1,720.4
3442.0,1,720.4
3449.0,1,720.5
3450.0,1,720.5
3451.0,1,720.5
3452.0,1,720.5
3453.0,1,720.5
3459.0,1,415.15
3461.0,1,348.0
3491.0,1,569.6700000000001
3492.0,1,569.6700000000001
3502.0,1,714.3
3506.0,1,731.98
3513.0,1,720.8399999999999
3525.0,1,714.3
3528.0,1,714.3
3539.0,1,714.3
3548.0,1,714.42
3549.0,1,286.95
3551.0,1,714.3
3561.0,1,701.88
3565.0,1,720.4
3569.0,1,720.4
3572.0,1,720.4
3579.0,1,2143.59
3590.0,1,574.2
3597.0,1,225.9
3647.0,1,720.4
3683.0,1,720.4
3710.0,1,164.85000000000002
3718.0,1,647.98
3720.0,1,720.48
3739.0,1,714.3
3752.0,1,569.6700000000001
3763.0,1,714.3
3790.0,1,714.3
3792.0,1,714.42
3795.0,1,107.8
3799.0,1,569.6700000000001
3802.0,1,701.88
3813.0,1,714.3
3826.0,1,720.4
3844.0,1,915.21
3869.0,1,714.3
3872.0,1,720.4
3885.0,1,659.35
3909.0,1,714.3
3914.0,1,720.48
3933.0,1,720.4
3939.0,1,720.4
3948.0,1,537.25
3950.0,1,720.52
3959.0,1,720.4
3961.0,1,720.4
3976.0,1,574.2
3980.0,1,720.4
3982.0,1,659.35
3995.0,1,720.4
4023.0,1,598.3
4024.0,1,714.3
4027.0,1,720.4
4042.0,1,658.7
4052.0,1,653.25
4077.0,1,720.4
4103.0,1,1139.46
4130.0,1,720.4
4131.0,1,720.4
4162.0,1,720.4
4168.0,1,720.4
4184.0,1,720.4
4199.0,1,714.3
4213.0,1,714.3
4214.0,1,714.3
4223.0,1,1404.79
4240.0,1,720.4
4253.0,1,714.3
4254.0,1,720.4
4277.0,1,714.3
4300.0,1,714.3
4327.0,1,1136.2
4349.0,1,658.82
4351.0,1,574.28
4352.0,1,574.28
4359.0,1,720.4
4360.0,1,720.4
4389.0,1,476.32
4396.0,1,708.0
4398.0,1,494.97
4407.0,1,1136.2
4418.0,1,574.28
4419.0,1,574.28
4464.0,1,720.4
4475.0,1,720.4
4476.0,1,574.28
4477.0,1,720.4
4520.0,1,859.08
4522.0,1,652.9200000000001
4527.0,1,714.3
4528.0,1,569.6700000000001
4529.0,1,574.3000000000001
4530.0,1,569.6700000000001
4532.0,1,569.6700000000001
4541.0,1,655.0
4552.0,1,714.3
4553.0,1,720.4
4568.0,1,714.3
4574.0,1,714.3
4597.0,1,714.4499999999999
4605.0,1,720.4
4606.0,1,2882.48
4615.0,1,720.4
4624.0,1,714.3
4626.0,1,1136.2
4648.0,1,574.28
4649.0,1,574.28
4650.0,1,574.28
4653.0,1,846.66
4658.0,1,714.3
4662.0,1,714.3
4663.0,1,866.6
4670.0,1,569.6700000000001
4671.0,1,569.6700000000001
4672.0,1,714.3
4693.0,1,720.4
4694.0,1,720.4
4713.0,1,720.4
4719.0,1,574.28
4721.0,1,720.4
4737.0,1,4313.38
4738.0,1,569.6700000000001
4739.0,1,569.6700000000001
4740.0,1,569.6700000000001
4741.0,1,569.6700000000001
4743.0,1,720.4
4761.0,1,859.08
4791.0,1,227.84
4798.0,1,714.3
4849.0,1,549.42
4858.0,1,714.3
4888.0,1,470.1
4890.0,1,714.3
4903.0,1,1148.78
4908.0,1,714.42
4909.0,1,574.28
4910.0,1,574.28
4972.0,1,866.6
4996.0,1,365.4
5047.0,1,990.0
5055.0,1,1012.8
5062.0,1,720.4
5066.0,1,1148.78
5105.0,1,659.35
5150.0,1,569.6700000000001
5152.0,1,569.6700000000001
5154.0,1,569.6700000000001
5155.0,1,569.6700000000001
5156.0,1,569.6700000000001
5158.0,1,714.42
5251.0,1,86.9
5252.0,1,1126.86
5275.0,1,708.0
5276.0,1,720.4
5279.0,1,658.7
5307.0,1,1139.49
5320.0,1,2042.09
5335.0,1,653.09
5346.0,1,434.22
5380.0,1,586.34
5402.0,1,434.1
5471.0,1,354.1
5478.0,1,720.4
5520.0,1,708.0
5540.0,1,356.94
5604.0,1,287.07
5615.0,1,409.05
5624.0,1,1126.86
5636.0,1,293.05
5659.0,1,990.0
5691.0,1,1136.2
5721.0,1,558.76
5722.0,1,1136.2
5735.0,1,658.7
5742.0,1,720.4
5743.0,1,720.4
5744.0,1,720.4
5745.0,1,720.4
5746.0,1,720.4
5826.0,1,720.48
5847.0,1,1126.86
5894.0,1,647.3000000000001
5895.0,1,647.3000000000001
5928.0,1,1441.1
5938.0,1,1148.7
5942.0,1,1148.7
5946.0,1,720.4
5947.0,1,720.4
5948.0,1,1429.05
5961.0,1,1148.78
5996.0,1,1136.2
6129.0,1,859.23
6165.0,1,1139.37
6221.0,1,1139.37
6226.0,1,702.1
6246.0,1,1139.37
6249.0,1,1126.86
6252.0,1,1136.2
6261.0,1,1126.86
6262.0,1,1126.86
6268.0,1,1148.7
6299.0,1,1037.58
6324.0,1,1148.7
6341.0,1,1136.2
6358.0,1,1447.25
6375.0,1,714.3
6393.0,1,1136.2
6417.0,1,1148.7
6428.0,1,415.25
6429.0,1,415.23
6434.0,1,1139.37
6472.0,1,714.3
6498.0,1,412.32
6618.0,1,574.3000000000001
6644.0,1,1148.7
6648.0,1,1139.37
6669.0,1,1136.2
6670.0,1,1136.2
6676.0,1,866.68
6688.0,1,574.2
6707.0,1,1441.18
6718.0,1,1136.2
6722.0,1,866.68
6723.0,1,1136.2
6733.0,1,959.4
6735.0,1,87.9
6803.0,1,1126.86
6809.0,1,1139.37
6818.0,1,714.3
6833.0,1,1126.86
6838.0,1,1139.37
6846.0,1,599.88
6852.0,1,914.95
6864.0,1,720.5
6865.0,1,497.25
6868.0,1,1319.06
6888.0,1,1139.37
6929.0,1,1139.37
6936.0,1,714.3
6940.0,1,1463.96
6951.0,1,714.3
6955.0,1,359.75
6956.0,1,359.75
6957.0,1,359.75
6958.0,1,359.75
6960.0,1,1139.37
6976.0,1,1139.37
6983.0,1,1139.37
7019.0,1,1148.78
7020.0,1,1055.4
7042.0,1,1148.7
7047.0,1,720.4
7058.0,1,574.28
7064.0,1,658.7
7065.0,1,658.7
7066.0,1,658.7
7067.0,1,658.7
7068.0,1,658.7
7092.0,1,1136.2
7093.0,1,1136.2
7094.0,1,1136.2
7098.0,1,462.52
7117.0,1,1136.2
7181.0,1,1004.01
7184.0,1,1136.2
7191.0,1,959.88
7197.0,1,720.48
7306.0,1,720.48
7309.0,1,292.29999999999995
7324.0,1,714.42
7336.0,1,361.25
7386.0,1,1148.7
7442.0,1,524.8000000000001
7444.0,1,524.8000000000001
7446.0,1,524.8000000000001
7447.0,1,524.8000000000001
7452.0,1,1136.2
7472.0,1,354.1
7473.0,1,720.4
7477.0,1,1126.86
7479.0,1,1126.86
7484.0,1,1136.2
7503.0,1,3592.78
7504.0,1,1139.49
7513.0,1,733.08
7515.0,1,264.0
7528.0,1,1126.86
7551.0,1,175.98
7562.0,1,999.95
7598.0,1,923.4
7647.0,1,1139.52
7653.0,1,859.1999999999999
7659.0,1,1126.86
7670.0,1,1139.37
7676.0,1,720.4
7685.0,1,569.6700000000001
7686.0,1,569.6700000000001
7687.0,1,569.6700000000001
7689.0,1,569.6700000000001
7736.0,1,1148.7
7764.0,1,1148.78
7771.0,1,574.2
7774.0,1,1039.96
7793.0,1,1051.42
7807.0,1,1148.7
7821.0,1,1012.88
7837.0,1,714.3
7843.0,1,1148.78
7856.0,1,1136.2
7865.0,1,1148.7
7875.0,1,1148.7
7877.0,1,2699.7
7884.0,1,569.6700000000001
7885.0,1,569.6700000000001
7886.0,1,569.6700000000001
7887.0,1,569.6700000000001
7888.0,1,569.6700000000001
7896.0,1,1108.18
7901.0,1,88.0
7910.0,1,467.82
7918.0,1,976.4
7920.0,1,976.4
7934.0,1,954.22
7979.0,1,847.66
7980.0,1,1148.7
7988.0,1,1139.37
8039.0,1,1429.05
8058.0,1,569.64
8094.0,1,1139.37
8118.0,1,1139.37
8137.0,1,1139.37
8139.0,1,1139.37
8142.0,1,438.5
8150.0,1,1139.49
8170.0,1,1148.7
8171.0,1,1428.6
8196.0,1,714.4499999999999
8200.0,1,714.4499999999999
8228.0,1,1319.06
8257.0,1,1139.37
8258.0,1,659.97
8262.0,1,1139.49
8298.0,1,1139.37
8312.0,1,175.9
8316.0,1,1136.2
8350.0,1,714.3
8365.0,1,1136.2
8376.0,1,1148.7
8398.0,1,1148.7
8406.0,1,1148.7
8419.0,1,1139.37
8425.0,1,1139.37
8496.0,1,1136.2
8551.0,1,1148.7
8588.0,1,598.38
8604.0,1,1148.78
8611.0,1,1148.7
8614.0,1,2161.78
8615.0,1,1148.7
8629.0,1,1039.96
8636.0,1,1148.7
8638.0,1,720.4
8641.0,1,1136.2
8643.0,1,720.4
8672.0,1,1139.37
8674.0,1,714.3
8676.0,1,1003.98
8679.0,1,1148.7
8687.0,1,1139.37
8715.0,1,1042.09
8736.0,1,1139.37
8766.0,1,1139.37
8788.0,1,1148.7
8816.0,1,786.84
8817.0,1,786.84
8818.0,1,2593.29
8838.0,1,361.13
8839.0,1,1148.7
8843.0,1,720.4
8851.0,1,1139.37
8864.0,1,263.85
8867.0,1,1126.86
8886.0,1,1148.7
8901.0,1,1148.8
8920.0,1,714.3
8988.0,1,467.74
9000.0,1,1136.2
9016.0,1,1148.7
9058.0,1,1148.7
9059.0,1,1148.7
9092.0,1,720.52
9189.0,1,1139.37
9195.0,1,1148.7
9214.0,1,1148.7
9234.0,1,658.7
9235.0,1,658.7
9236.0,1,658.7
9259.0,1,1139.37
9270.0,1,1126.86
9277.0,1,1139.37
9283.0,1,714.42
9313.0,1,1126.86
9321.0,1,1139.37
9325.0,1,1139.52
9326.0,1,1139.52
9327.0,1,1139.52
9342.0,1,1139.37
9348.0,1,1139.37
9350.0,1,714.3
9351.0,1,1148.7
9357.0,1,701.88
9359.0,1,701.88
9361.0,1,701.88
9363.0,1,701.88
9365.0,1,701.88
9377.0,1,647.3000000000001
9378.0,1,647.3000000000001
9384.0,1,866.6
9398.0,1,1139.37
9405.0,1,714.3
9428.0,1,701.88
9430.0,1,701.88
9432.0,1,701.88
9472.0,1,354.1
9482.0,1,1799.88
9491.0,1,289.47
9492.0,1,714.42
9514.0,1,292.29999999999995
9540.0,1,714.4499999999999
9597.0,1,1139.49
9598.0,1,1148.7
9622.0,1,1148.78
9629.0,1,600.12
9636.0,1,1148.7
9646.0,1,565.1
9661.0,1,714.42
9663.0,1,1136.2
9668.0,1,1148.7
9684.0,1,1139.37
9703.0,1,1148.7
9713.0,1,1139.37
9716.0,1,720.4
9724.0,1,1139.37
9729.0,1,786.84
9738.0,1,701.88
9744.0,1,1126.86
9747.0,1,1148.78
9826.0,1,647.4000000000001
9832.0,1,1148.7
9859.0,1,1148.7
9869.0,1,1139.37
9873.0,1,708.0
9899.0,1,714.3
9923.0,1,1148.7
9926.0,1,1148.7
9928.0,1,1148.7
9939.0,1,574.2
9943.0,1,1136.2
9957.0,1,1148.7
9965.0,1,714.42
9966.0,1,714.42
9997.0,1,419.65
10004.0,1,1148.7
10024.0,1,1139.37
10036.0,1,720.48
10045.0,1,720.48
10050.0,1,274.99
10076.0,1,708.0
10095.0,1,1139.37
10098.0,1,1148.7
10100.0,1,1136.2
10102.0,1,3229.92
10161.0,1,1148.7
10173.0,1,759.66
10181.0,1,273.18
10187.0,1,1148.7
10201.0,1,720.4
10202.0,1,977.0
10203.0,1,1148.7
10218.0,1,671.0799999999999
10220.0,1,574.2
10245.0,1,720.4
10249.0,1,1148.7
10250.0,1,1120.71
10257.0,1,479.94
10264.0,1,1012.8
10267.0,1,720.48
10289.0,1,365.4
10290.0,1,365.4
10291.0,1,365.4
10292.0,1,365.4
10293.0,1,329.3
10294.0,1,365.4
10295.0,1,365.4
10296.0,1,720.5
10297.0,1,720.5
10298.0,1,856.86
10314.0,1,1139.37
10315.0,1,1148.7
10351.0,1,1139.37
10366.0,1,720.54
10368.0,1,574.2
10369.0,1,653.4
10370.0,1,592.35
10384.0,1,1139.37
10388.0,1,1139.49
10403.0,1,1284.27
10424.0,1,1139.37
10436.0,1,652.97
10449.0,1,701.88
10461.0,1,520.26
10495.0,1,1139.37
10512.0,1,1139.37
10543.0,1,720.4
10563.0,1,1148.78
10570.0,1,1126.86
10577.0,1,370.46
10606.0,1,1136.2
10614.0,1,1037.6
10642.0,1,714.42
10643.0,1,1126.86
10644.0,1,409.05
10648.0,1,1042.21
10668.0,1,1148.7
10672.0,1,720.4
10684.0,1,109.99
10692.0,1,574.28
10694.0,1,1148.7
10700.0,1,720.4
10704.0,1,720.4
10705.0,1,720.4
10719.0,1,153.9
10724.0,1,708.0
10726.0,1,708.0
10727.0,1,1012.9
10728.0,1,1012.9
10729.0,1,1012.9
10732.0,1,1148.7
10783.0,1,370.46
10796.0,1,1148.7
10813.0,1,1148.7
10819.0,1,279.77
10820.0,1,361.25
10851.0,1,714.42
10865.0,1,1148.7
10871.0,1,1148.7
10879.0,1,1148.7
10894.0,1,853.93
10902.0,1,1148.7
10916.0,1,1148.7
10928.0,1,293.15
10929.0,1,287.86
10930.0,1,287.86
10951.0,1,1148.7
10983.0,1,714.42
11002.0,1,926.15
11004.0,1,708.0
11010.0,1,439.98
11017.0,1,708.0
12337.0,1,1139.49
12346.0,1,1148.7
12365.0,1,3126.73
12370.0,1,1004.01
12371.0,1,1004.01
12374.0,1,1139.37
12383.0,1,1441.18
12399.0,1,219.98
12400.0,1,1139.37
12403.0,1,1139.37
12420.0,1,1139.49
12423.0,1,1004.01
12424.0,1,569.64
12491.0,1,720.52
12505.0,1,1139.37
12529.0,1,1139.52
12552.0,1,1126.86
12565.0,1,1139.37
12586.0,1,1139.37
12600.0,1,1148.7
12602.0,1,1139.37
12612.0,1,1139.37
12614.0,1,1139.37
12618.0,1,1284.3
12678.0,1,781.76
12679.0,1,583.45
12680.0,1,583.45
12681.0,1,583.45
12682.0,1,583.45
12684.0,1,1148.7
12718.0,1,1148.7
12721.0,1,287.86
12722.0,1,287.86
12723.0,1,287.86
12758.0,1,708.0
12783.0,1,1148.78
12799.0,1,1148.7
12802.0,1,88.0
12803.0,1,88.0
12813.0,1,720.4
12814.0,1,720.4
12815.0,1,293.05
12834.0,1,1148.7
12851.0,1,1136.2
12875.0,1,948.0
12883.0,1,1139.37
12894.0,1,1051.42
12921.0,1,1148.7
12925.0,1,1139.49
12927.0,1,1148.7
12928.0,1,1148.7
12965.0,1,1139.37
12967.0,1,281.74
12968.0,1,287.07
12972.0,1,293.05
12973.0,1,293.05
12981.0,1,1139.37
13040.0,1,701.88
13045.0,1,1392.06
13077.0,1,1271.64
13108.0,1,799.5
13136.0,1,549.42
13152.0,1,859.23
13153.0,1,859.23
13154.0,1,859.23
13163.0,1,1003.98
13164.0,1,151.8
13165.0,1,714.4499999999999
13166.0,1,714.4499999999999
13167.0,1,714.4499999999999
13168.0,1,714.4499999999999
13169.0,1,1136.2
13174.0,1,1126.86
13185.0,1,658.7
