AccountNumber,Unique_Deal_Count,Total_Amount
137.0,1,72.0
156.0,1,359.88
1047.0,1,479.88
1220.0,1,1089.0
1320.0,1,599.88
1327.0,1,228.0
1328.0,1,228.0
1483.0,1,599.4000000000001
1616.0,1,263.4
1655.0,1,785.88
1683.0,1,287.88
1775.0,1,599.4000000000001
1864.0,1,2988.0
1876.0,1,1176.0
1889.0,1,641.9
1928.0,1,1559.88
1930.0,1,588.0
1941.0,1,588.0
1943.0,1,599.88
1950.0,1,588.0
1983.0,1,599.4000000000001
2012.0,1,98.0
2017.0,1,654.4000000000001
2040.0,1,599.4000000000001
2049.0,1,599.4000000000001
2067.0,1,599.4000000000001
2090.0,1,1199.88
2100.0,1,599.4000000000001
2106.0,1,599.4000000000001
2112.0,1,1309.88
2126.0,1,599.4000000000001
2148.0,1,588.0
2154.0,1,599.4000000000001
2165.0,1,1319.88
2169.0,1,599.4000000000001
2180.0,1,599.4000000000001
2189.0,1,549.45
2197.0,1,659.4000000000001
2224.0,1,599.4000000000001
2253.0,1,49.95
2265.0,1,599.4000000000001
2268.0,1,599.4000000000001
2278.0,1,599.4000000000001
2289.0,1,599.4000000000001
2299.0,1,588.0
2314.0,1,245.0
2315.0,1,479.4
2316.0,1,599.4000000000001
2322.0,1,654.4000000000001
2324.0,1,599.4000000000001
2329.0,1,599.4000000000001
2330.0,1,599.4000000000001
2336.0,1,599.4000000000001
2357.0,1,599.4000000000001
2376.0,1,599.4000000000001
2393.0,1,599.4000000000001
2403.0,1,599.4000000000001
2411.0,1,599.4000000000001
2419.0,1,1199.88
2442.0,1,599.4000000000001
2443.0,1,599.88
2445.0,1,599.4000000000001
2468.0,1,599.4000000000001
2473.0,1,599.4000000000001
2498.0,1,599.88
2511.0,1,599.4000000000001
2530.0,1,599.4000000000001
2531.0,1,659.4000000000001
2540.0,1,149.85000000000002
2541.0,1,599.4000000000001
2542.0,1,360.0
2571.0,1,600.0
2572.0,1,600.0
2579.0,1,599.4000000000001
2582.0,1,456.0
2584.0,1,456.0
2591.0,1,659.4000000000001
2596.0,1,149.85000000000002
2623.0,1,599.4000000000001
2697.0,1,599.4000000000001
2744.0,1,599.4000000000001
2753.0,1,588.0
2764.0,1,599.4000000000001
2766.0,1,588.0
2768.0,1,588.0
2787.0,1,599.4000000000001
2790.0,1,611.88
2833.0,1,599.4000000000001
2838.0,1,599.4000000000001
2855.0,1,600.0
2866.0,1,599.4000000000001
2904.0,1,599.4000000000001
2930.0,1,828.0
2939.0,1,599.4000000000001
2947.0,1,599.4000000000001
2957.0,1,599.4000000000001
2969.0,1,599.4000000000001
2988.0,1,449.97
2991.0,1,228.0
2993.0,1,228.0
2995.0,1,599.4000000000001
3011.0,1,599.4000000000001
3035.0,1,499.5
3043.0,1,599.4000000000001
3047.0,1,948.0
3053.0,1,948.0
3057.0,1,599.4000000000001
3058.0,1,599.4000000000001
3065.0,1,654.4000000000001
3069.0,1,240.0
3070.0,1,300.0
3074.0,1,599.4000000000001
3080.0,1,599.4000000000001
3107.0,1,588.0
3112.0,1,599.4000000000001
3121.0,1,1199.88
3129.0,1,599.4000000000001
3135.0,1,828.0
3156.0,1,149.85000000000002
3171.0,1,599.4000000000001
3172.0,1,659.4000000000001
3187.0,1,599.4000000000001
3209.0,1,599.4000000000001
3220.0,1,654.4000000000001
3227.0,1,480.0
3228.0,1,480.0
3248.0,1,599.4000000000001
3251.0,1,599.4000000000001
3259.0,1,599.4000000000001
3262.0,1,599.88
3266.0,1,599.4000000000001
3274.0,1,539.0
3275.0,1,539.0
3276.0,1,539.0
3278.0,1,588.0
3279.0,1,588.0
3315.0,1,599.4000000000001
3322.0,1,599.4000000000001
3324.0,1,599.4000000000001
3328.0,1,840.0
3331.0,1,599.4000000000001
3332.0,1,785.88
3336.0,1,654.4000000000001
3365.0,1,599.4000000000001
3371.0,1,599.4000000000001
3388.0,1,599.4000000000001
3396.0,1,599.4000000000001
3397.0,1,600.0
3398.0,1,601.2
3402.0,1,654.4000000000001
3412.0,1,262.0
3414.0,1,599.4000000000001
3422.0,1,479.88
3438.0,1,714.35
3442.0,1,599.4000000000001
3447.0,1,599.4000000000001
3449.0,1,660.0
3450.0,1,660.0
3451.0,1,660.0
3452.0,1,660.0
3453.0,1,660.0
3459.0,1,654.4000000000001
3461.0,1,599.4000000000001
3491.0,1,480.0
3492.0,1,480.0
3502.0,1,599.4000000000001
3506.0,1,1249.95
3513.0,1,300.6
3525.0,1,599.4000000000001
3528.0,1,599.4000000000001
3539.0,1,654.4000000000001
3548.0,1,599.88
3549.0,1,654.4000000000001
3551.0,1,599.4000000000001
3561.0,1,588.0
3565.0,1,599.4000000000001
3569.0,1,599.4000000000001
3572.0,1,599.4000000000001
3576.0,1,1034.9
3579.0,1,1799.88
3590.0,1,479.4
3597.0,1,599.4000000000001
3605.0,1,639.92
3647.0,1,599.4000000000001
3683.0,1,654.4000000000001
3710.0,1,599.4000000000001
3718.0,1,588.0
3720.0,1,599.88
3739.0,1,599.4000000000001
3752.0,1,480.0
3763.0,1,659.4000000000001
3773.0,1,600.12
3790.0,1,599.4000000000001
3792.0,1,599.88
3795.0,1,588.0
3799.0,1,480.0
3802.0,1,641.9
3812.0,1,599.4000000000001
3813.0,1,599.4000000000001
3826.0,1,599.4000000000001
3832.0,1,659.4000000000001
3844.0,1,779.8799999999999
3869.0,1,599.4000000000001
3872.0,1,599.4000000000001
3885.0,1,599.4000000000001
3903.0,1,399.6
3909.0,1,599.4000000000001
